# t u v w
 0.0000000000000000e+00 1.2000000000000000e+00 3.1000000000000001e+00 3.0000000000000000e+00
 1.0000000000000001e-01 1.2171913678213591e+00 3.0617325859647964e+00 3.4579341558799013e+00
 2.0000000000000001e-01 1.2273481781929425e+00 3.0293340905817807e+00 3.4575980830758488e+00
 3.0000000000000004e-01 1.2354759626489478e+00 2.9980459195601066e+00 3.4573124684376579e+00
 4.0000000000000002e-01 1.2410264280786942e+00 2.9686465087412039e+00 3.4571129040657782e+00
 5.0000000000000000e-01 1.2434438778792971e+00 2.9419771247231288e+00 3.4570183430032366e+00
 5.9999999999999998e-01 1.2421939919895866e+00 2.9189124124016543e+00 3.4570471283074649e+00
 6.9999999999999996e-01 1.2367950936236594e+00 2.9003254371805522e+00 3.4572159441580093e+00
 7.9999999999999993e-01 1.2268489288134337e+00 2.8870500836736612e+00 3.4575387710011705e+00
 8.9999999999999991e-01 1.2120675925118862e+00 2.8798443956636897e+00 3.4580259582261612e+00
 9.9999999999999989e-01 1.1922937789039840e+00 2.8793582136381652e+00 3.4586835112651961e+00
 1.0999999999999999e+00 1.1675127001313459e+00 2.8861075276582344e+00 3.4595126526323079e+00
 1.2000000000000000e+00 1.1378554782105608e+00 2.9004565959595490e+00 3.4605096680260785e+00
 1.3000000000000000e+00 1.1035951352454698e+00 2.9226075099046445e+00 3.4616660035881881e+00
 1.4000000000000001e+00 1.0651371080921559e+00 2.9525959267901238e+00 3.4629685517802757e+00
 1.5000000000000002e+00 1.0230063003964018e+00 2.9902914021485221e+00 3.4644000583822043e+00
 1.6000000000000003e+00 9.7783209562127194e-01 3.0354011657817663e+00 3.4659396013740427e+00
 1.7000000000000004e+00 9.3033173340956743e-01 3.0874771135877683e+00 3.4675631264200306e+00
 1.8000000000000005e+00 8.8129137707274319e-01 3.1459268766317390e+00 3.4692440609243951e+00
 1.9000000000000006e+00 8.3154349687652251e-01 3.2100306392281630e+00 3.4709540547390647e+00
 2.0000000000000000e+00 7.8193922829715456e-01 3.2789654863987669e+00 3.4726638975178989e+00
